name,Alpha_3,region,sub_region,region_code,sub_region_code
Afghanistan,AFG,Asia,Southern Asia,142,34
Aland Islands,ALA,Europe,Northern Europe,150,154
Albania,ALB,Europe,Southern Europe,150,39
Algeria,DZA,Africa,Northern Africa,2,15
American Samoa,ASM,Oceania,Polynesia,9,61
Andorra,AND,Europe,Southern Europe,150,39
Angola,AGO,Africa,Sub-Saharan Africa,2,202
Anguilla,AIA,Americas,Latin America and the Caribbean,19,419
Antigua and Barbuda,ATG,Americas,Latin America and the Caribbean,19,419
Argentina,ARG,Americas,Latin America and the Caribbean,19,419
Armenia,ARM,Asia,Western Asia,142,145
Aruba,ABW,Americas,Latin America and the Caribbean,19,419
Australia,AUS,Oceania,Australia and New Zealand,9,53
Austria,AUT,Europe,Western Europe,150,155
Azerbaijan,AZE,Asia,Western Asia,142,145
Bahamas,BHS,Americas,Latin America and the Caribbean,19,419
Bahrain,BHR,Asia,Western Asia,142,145
Bangladesh,BGD,Asia,Southern Asia,142,34
Barbados,BRB,Americas,Latin America and the Caribbean,19,419
Belarus,BLR,Europe,Eastern Europe,150,151
Belgium,BEL,Europe,Western Europe,150,155
Belize,BLZ,Americas,Latin America and the Caribbean,19,419
Benin,BEN,Africa,Sub-Saharan Africa,2,202
Bermuda,BMU,Americas,Northern America,19,21
Bhutan,BTN,Asia,Southern Asia,142,34
Bolivia,BOL,Americas,Latin America and the Caribbean,19,419
"Bonaire, Sint Eustatius and Saba",BES,Americas,Latin America and the Caribbean,19,419
Bosnia And Herzegovina,BIH,Europe,Southern Europe,150,39
Botswana,BWA,Africa,Sub-Saharan Africa,2,202