Country Code,nineteen,twenty
ABW,,
AFE,6.47226928955243,6.81417669985147
AFG,10.98,11.73
AFW,5.92892616293053,6.3001047205968
AGO,6.93,7.7
ALB,11.47,11.7
AND,,
ARB,10.2072225784772,11.481565055978
ARE,2.28,5
ARG,9.84,11.67
ARM,18.81,20.21
ASM,,
ATG,,
AUS,5.16,6.61
AUT,4.49,5.77
AZE,4.84,6.27
BDI,1.42,0.8
BEL,5.36,6.01
BEN,2.32,2.54
BFA,4.62,4.96
BGD,4.22,5.3
BGR,4.23,5.71
BHR,1.56,4.09
BHS,10.11,14.41
BIH,15.69,16.85
BLR,4.71,5.28
BLZ,6.46,7.82
BMU,,
BOL,3.46,5.61
BRA,11.93,13.67
BRB,10.1,12.79
BRN,6.92,8.37
BTN,2.27,3.74
BWA,17.21,17.7
CAF,4.04,4.33
CAN,5.66,9.48
CEB,3.77959349454902,4.56181965331029
CHE,4.39,4.94
CHI,7.11,8.16
CHL,7.29,11.51
CHN,4.6,5
CIV,3.17,3.5
CMR,3.32,3.62
COD,4.13,4.55
COG,9.6,10.27
COL,9.96,15.44
COM,7.7,8.43
CPV,12.07,13.41
CRI,11.49,17.08
CSS,8.03163332332528,9.79804591449609
CUB,1.67,3.87
CUW,,
CYM,,
CYP,7.07,7.21
CZE,2.01,2.94
DEU,3.14,4.31
DJI,10.97,11.57
DMA,,
DNK,5.02,5.66
DOM,6.36,8.9
DZA,11.81,12.83
EAP,3.93794310692006,4.38917997056282
EAR,5.60194626088011,6.86486578480005
EAS,3.85825398353959,4.3387491257598
ECA,7.13478949274496,7.96588074846972
ECS,6.68588841086627,7.40675213450157
ECU,3.81,6.23
EGY,9.73,10.45
EMU,7.55229856799245,8.20325602764402
ERI,6.34,7.44
ESP,14.1,15.67
EST,4.45,6.46
ETH,2.04,2.79
EUU,6.69803120009586,7.37492817935492
FCS,6.21080168292098,6.87312430746008
FIN,6.7,7.83
FJI,4.11,4.79
FRA,8.44,8.62
FRO,,
FSM,,
GAB,19.64,20.47
GBR,3.74,4.34
GEO,11.57,12.05
GHA,4.12,4.53
GIB,,
GIN,4.14,4.35
GMB,8.94,9.64
GNB,2.79,3.16
GNQ,7.95,9.15
GRC,17.31,16.85
GRD,,
GRL,,
GTM,2.36,4.65
GUM,5.65,7.51
GUY,13.91,15.82
HIC,4.79877205228422,6.80848180084402
HKG,2.96,5.8
HND,5.57,9.39
HPC,4.41401027624877,4.93540260825607
HRV,6.62,7.2
HTI,13.48,14.5
HUN,3.42,4.35
IBD,5.74950866132192,6.74643779147216
IBT,5.50567561641781,6.41504866215236
IDA,4.67138933584337,5.30601636303798
IDB,5.4376438927621,5.95636734066672
IDN,3.62,4.11
IDX,4.32817325645194,5.01630906455001
IMN,,
IND,5.27,7.11
INX,,
IRL,4.95,5.92
IRN,11.14,10.96
IRQ,12.76,13.74
ISL,3.51,5.01
ISR,3.8,4.61
ITA,9.95,9.31
JAM,7.72,8.4
JOR,16.85,18.5
JPN,2.4,2.97
KAZ,4.8,6.05
KEN,2.6,2.98
KGZ,6.72,7.89
KHM,0.13,0.31
KIR,,
KNA,,
KOR,3.75,4.07
KWT,2.41,6.79
LAC,8.04150724589441,10.2714610450071
LAO,0.62,0.95
LBN,6.04,6.61
LBR,2.89,3.3
LBY,18.34,19.39
LCA,15.59,17.13
LCN,7.98616672203364,10.2801351542291
LDC,4.33507299753999,5.00762242611226
LIC,4.61349011747205,5.10318049922879
LIE,,
LKA,4.27,4.84
LMC,5.06907901875838,6.17511621852187
LMY,5.48965960134328,6.3861147352422
LSO,23.86,24.65
LTE,5.21907270991961,5.9349211134036
LTU,6.26,8.43
LUX,5.6,6.96
LVA,6.31,8.19
MAC,1.7,2.5
MAF,,
MAR,9.01,10.15
MCO,,
MDA,5.1,4.71
MDG,1.67,1.92
MDV,5.82,7.18
MEA,9.5968271053253,10.6343786054098
MEX,3.48,4.71
MHL,,
MIC,5.57517404215304,6.51537717898309
MKD,17.26,18.4
MLI,7.24,7.5
MLT,3.4,4.09
MMR,0.5,1.79
MNA,11.2144268587363,11.9045156747509
MNE,15.12,15.86
MNG,5.31,4.33
MNP,,
MOZ,3.19,3.39
MRT,10.13,10.66
MUS,6.36,7.11
MWI,5.56,5.99
MYS,3.31,4.55
NAC,3.88949185783606,8.4389468668727
NAM,19.75,20.35
NCL,15.45,16.52
NER,0.46,0.69
NGA,8.53,9.01
NIC,5.14,5.82
NLD,3.38,4.09
NOR,3.69,4.62
NPL,2.85,4.44
NRU,,
NZL,4.07,4.55
OED,5.39385384845985,7.37963718635683
OMN,1.84,4.97
OSS,9.16899432512886,10.4620267915104
PAK,3.98,4.65
PAN,4.74,10.23
PER,3.03,6.24
PHL,2.24,3.36
PLW,,
PNG,2.37,2.74
POL,3.28,3.55
PRE,5.79679672279942,6.20722696064245
PRI,8.3,11.17
PRK,2.62,2.81
PRT,6.46,7.2
PRY,6.6,7.61
PSE,25.34,27.35
PSS,2.67829524662537,3.10680538428914
PST,4.95838474891878,6.95768546258796
PYF,12.72,13.81
QAT,0.12,3.45
ROU,3.91,4.84
RUS,4.6,5.73
RWA,0.99,1.35
SAS,5.03648259157799,6.62507641718098
SAU,6.13,8.22
SDN,16.76,17.71
SEN,6.47,7.1
SGP,3.1,5.19
SLB,0.6,0.79
SLE,4.36,4.6
SLV,3.96,6.98
SMR,,
SOM,12.79,13.1
SRB,10.4,9.08
SSA,6.27682799648702,6.62907378161816
SSD,12.01,12.66
SSF,6.27682799648702,6.62907378161816
SST,8.64475496502825,9.98290077950529
STP,13.05,13.86
SUR,6.94,8.65
SVK,5.75,6.79
SVN,4.45,5.17
SWE,6.83,8.45
SWZ,22.24,23.4
SXM,,
SYC,,
SYR,8.16,9.03
TCA,,
TCD,1.91,2.26
TEA,3.95744770778883,4.41264564554665
TEC,6.79610619022392,7.57094637025737
TGO,3.6,4.05
THA,0.72,1.02
TJK,6.66,7.5
TKM,3.74,4.38
TLA,8.08681666529731,10.3796107321462
TLS,4.42,5.06
TMN,11.060775374394,11.7328728044933
TON,3.01,4.37
TSA,5.03648259157799,6.62507641718098
TSS,6.27682799648702,6.62907378161816
TTO,3.46,6.74
TUN,15.13,16.69
TUR,13.67,13.92
TUV,,
TZA,1.96,2.16
UGA,1.72,2.44
UKR,8.19,9.48
UMC,6.0736446711794,6.85018098220749
URY,9.35,12.67
USA,3.67,8.31
UZB,5.65,5.97
VCT,18.62,20.27
VEN,7.16,9.14
VGB,,
VIR,8.09,11.84
VNM,2.04,2.27
VUT,1.69,1.95
WLD,5.37256933431952,6.47128085605066
WSM,8.22,8.87
XKX,,
YEM,12.9,13.42
ZAF,28.47,28.74
ZMB,11.91,12.17
ZWE,5.02,5.73
